step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
628,CASH_OUT,410.4,C008027686,310876.74,310466.33999999997,C007187670,261035.93,0.0,0,0
660,PAYMENT,2364.37,C009438374,460843.16,458478.79,C003440804,356289.36,0.0,0,0
733,PAYMENT,223.4,C001709798,66302.01,66078.61,C002970440,247968.56,0.0,0,0
181,PAYMENT,2154.31,C000352371,332910.92,330756.61,C000797827,299156.53,0.0,0,0
594,PAYMENT,263.71,C008335259,463302.07,463038.36,C003491474,417248.9,0.0,0,0
153,CASH_IN,6067.27,C007450221,453915.3,447848.02999999997,C009111668,276125.43,0.0,0,0
92,PAYMENT,8779.87,C009074660,214436.17,205656.30000000002,C001454730,475375.32,0.0,0,0
18,CASH_OUT,11926.96,C004787713,151429.83,139502.87,C006985897,481469.23,0.0,0,0
87,CASH_IN,7666.19,C002834980,376147.49,368481.3,C005159043,499742.19,0.0,0,0
455,PAYMENT,1496.16,C006393241,263459.8,261963.63999999998,C006504781,421694.64,0.0,0,0
516,CASH_IN,283.88,C008340060,209354.7,209070.82,C002011540,325205.17,0.0,0,0
413,PAYMENT,10665.82,C005806638,276163.57,265497.75,C002887787,132662.3,0.0,0,0
294,PAYMENT,2333.05,C005658161,127761.7,125428.65,C007644403,77190.22,0.0,0,0
645,DEBIT,194.56,C002411857,313439.46,313244.9,C009830698,1034.3,0.0,0,0
399,PAYMENT,2047.67,C001081396,231497.03,229449.36,C006693400,116031.68,0.0,0,0
517,PAYMENT,5479.49,C003654709,305722.7,300243.21,C002400118,1865.44,0.0,0,0
690,PAYMENT,1490.73,C000645188,84034.54,82543.81,C007842383,100011.24,0.0,0,0
475,CASH_OUT,10270.13,C004051690,205933.2,195663.07,C006206243,268074.24,0.0,0,0
702,PAYMENT,4867.22,C001628366,329143.67,324276.45,C002567181,283894.32,0.0,0,0
6,CASH_OUT,4102.85,C008473229,73106.54,69003.68999999999,C005485456,313130.73,0.0,0,0
426,PAYMENT,3750.66,C008567191,483037.03,479286.37000000005,C006922536,293343.33,0.0,0,0
254,TRANSFER,739.54,C005982616,458989.78,458250.24000000005,C003312789,217865.03,0.0,0,0
16,CASH_IN,9100.49,C005652721,408513.96,399413.47000000003,C006503840,250111.14,0.0,0,0
218,PAYMENT,5752.25,C000699164,1402.72,0.0,C008526678,54880.09,0.0,0,0
419,PAYMENT,28798.64,C005248139,115906.55,87107.91,C004865869,196891.38,0.0,0,0
639,DEBIT,14700.28,C006378330,359286.86,344586.57999999996,C005123036,97423.22,0.0,0,0
162,CASH_OUT,2223.49,C004855572,294594.73,292371.24,C002271274,411294.78,0.0,0,0
435,DEBIT,10052.72,C005692364,209513.71,199460.99,C007244936,352348.11,0.0,0,0
537,PAYMENT,12586.85,C000847529,423749.08,411162.23000000004,C000706967,294238.36,0.0,0,0
140,PAYMENT,7182.11,C000593980,158689.95,151507.84000000003,C001587315,251315.17,0.0,0,0
58,PAYMENT,7432.93,C009526205,94310.22,86877.29000000001,C002747169,265863.36,0.0,0,0
650,CASH_OUT,6551.2,C007898861,281952.53,275401.33,C004136035,251106.85,0.0,0,0
388,PAYMENT,1692.55,C000866947,279048.29,277355.74,C006942573,190992.39,0.0,0,0
284,CASH_OUT,164.12,C008013216,176683.56,176519.44,C005243449,360373.13,0.0,0,0
596,PAYMENT,10552.23,C007935179,488001.52,477449.29000000004,C006505151,391046.2,0.0,0,0
634,CASH_OUT,11883.72,C003658970,262256.13,250372.41,C004112718,274801.58,0.0,0,0
680,PAYMENT,4879.07,C009596475,411830.87,406951.8,C002678732,494840.01,0.0,0,0
429,PAYMENT,2888.3,C001796948,68254.18,65365.87999999999,C008128157,128478.39,0.0,0,0
482,CASH_OUT,1870.14,C002615078,32065.05,30194.91,C008673463,24328.78,0.0,0,0
94,PAYMENT,3828.65,C003659293,431651.1,427822.44999999995,C005366654,374381.19,0.0,0,0
78,CASH_IN,1460.11,C002408139,267778.19,266318.08,C008738415,134965.14,0.0,0,0
202,PAYMENT,47.11,C001158035,116941.92,116894.81,C005221363,55702.75,0.0,0,0
656,CASH_IN,5661.31,C005061341,18083.24,12421.93,C009400509,248518.36,0.0,0,0
597,TRANSFER,1667.95,C001135423,179800.99,178133.03999999998,C001637107,462923.09,0.0,0,0
258,CASH_OUT,14052.19,C007722817,389410.05,375357.86,C008792106,210818.04,0.0,0,0
115,CASH_OUT,1182.32,C009008185,435495.81,434313.49,C007940517,483141.86,0.0,0,0
537,CASH_IN,4270.03,C004415940,143694.96,139424.93,C000763920,322761.66,0.0,0,0
520,PAYMENT,4522.4,C001817943,25907.56,21385.160000000003,C001558539,490187.77,0.0,0,0
338,CASH_OUT,908.25,C006556500,243565.72,242657.47,C005610050,491385.96,0.0,0,0
168,CASH_IN,1217.02,C002540915,79343.45,78126.43,C002608688,389000.66,0.0,0,0
626,DEBIT,1817.94,C009682551,422386.3,420568.36,C008988586,465289.32,0.0,0,0
64,CASH_IN,14801.1,C006054758,207604.59,192803.49,C003964173,354540.51,0.0,0,0
238,TRANSFER,17343.03,C008896515,442325.8,424982.77,C006124100,485419.72,0.0,0,0
56,PAYMENT,26386.68,C005658486,152411.25,126024.57,C007025725,88692.36,0.0,0,0
563,CASH_OUT,6333.85,C008696495,66402.51,60068.659999999996,C005180755,470687.17,0.0,0,0
340,PAYMENT,426.27,C001142982,80453.74,80027.47,C001267058,118380.02,0.0,0,0
730,PAYMENT,4989.55,C000358296,42283.99,37294.439999999995,C005015538,112747.29,0.0,0,0
209,PAYMENT,17614.8,C006152114,480136.34,462521.54000000004,C007962425,131702.48,0.0,0,0
514,CASH_OUT,1342.93,C001113259,235270.76,233927.83000000002,C004024608,201706.23,0.0,0,0
531,CASH_IN,17774.77,C004615918,143328.96,125554.18999999999,C008947305,424525.55,0.0,0,0
474,PAYMENT,460.18,C001640093,80085.33,79625.15000000001,C006572358,143092.34,0.0,0,0
741,TRANSFER,10331.04,C002715368,472127.18,461796.14,C001434097,278490.6,0.0,0,0
377,CASH_OUT,2364.04,C004508224,232368.83,230004.78999999998,C000601647,340527.84,0.0,0,0
258,CASH_IN,9593.96,C000522987,354150.45,344556.49,C003299740,470785.21,0.0,0,0
334,CASH_OUT,1064.67,C000107095,464403.28,463338.61000000004,C001388303,297965.21,0.0,0,0
253,DEBIT,5099.76,C002067893,408378.04,403278.27999999997,C003180787,414470.04,0.0,0,0
501,PAYMENT,1766.1,C000972523,83365.72,81599.62,C003380343,408777.79,0.0,0,0
436,TRANSFER,3325.51,C008112145,155833.82,152508.31,C007039789,89060.93,0.0,0,0
189,PAYMENT,8522.93,C007393558,205588.24,197065.31,C002593206,465446.45,0.0,0,0
208,PAYMENT,5625.39,C003978154,246844.11,241218.71999999997,C007755533,74672.05,0.0,0,0
506,PAYMENT,2531.9,C002619211,2778.26,246.36000000000013,C004712478,110066.73,0.0,0,0
95,CASH_OUT,7104.43,C009024085,189526.4,182421.97,C009819927,29110.66,0.0,0,0
602,CASH_IN,1237.49,C004874639,462386.2,461148.71,C006488907,418904.26,0.0,0,0
218,PAYMENT,3167.03,C009984622,57117.2,53950.17,C005256500,399947.37,0.0,0,0
650,PAYMENT,40816.95,C005732529,242915.01,202098.06,C008760524,278945.05,0.0,0,0
